post_id,post_date,post_type,caption_summary,campaign_tag,reach,likes,saves,comments,shares
IG-0001,2026-04-13,스토리,러쉬 어스 멤버십 혜택 카드,멤버십_프로모션,9669,830,207,66,132
IG-0002,2026-04-14,릴스,씨닉 샴푸바 거품 슬로모션,일상_제품컷,26116,2198,1139,320,688
IG-0003,2026-04-15,릴스,성수 팝업씨어터 비마이커튼콜 회고 영상,성수_팝업씨어터,34514,2180,620,387,325
IG-0004,2026-04-15,피드,어스데이 자원 순환 인포그래픽,어스데이,34270,3042,2258,629,989
IG-0005,2026-04-15,피드,어스데이 자원 순환 인포그래픽,어스데이,29553,2857,1908,471,834
IG-0006,2026-04-16,릴스,라임바운티 보디버터 발리는 모습,일상_제품컷,38800,4263,1428,352,1098
IG-0007,2026-04-16,릴스,마스크 오브 매그너민티 팩 시연,일상_제품컷,32312,2497,1294,403,610
IG-0008,2026-04-17,피드,어스데이 자원 순환 인포그래픽,어스데이,31982,2678,1393,618,1094
IG-0009,2026-04-17,릴스,어스데이 비건 인증 라인업,어스데이,27835,2087,1308,313,903
IG-0010,2026-04-18,피드,기브셔틀 두물머리 ESG 워크숍 모집,기브셔틀_ESG,21142,2088,1370,537,777
IG-0011,2026-04-19,릴스,씨닉 샴푸바 거품 슬로모션,일상_제품컷,30791,2514,994,291,512
IG-0012,2026-04-19,피드,인터갈락틱 배쓰밤 우주 비주얼 컷,일상_제품컷,32558,3193,1369,474,583
IG-0013,2026-04-20,릴스,성수 팝업씨어터 비마이커튼콜 회고 영상,성수_팝업씨어터,28722,1772,479,311,409
IG-0014,2026-04-20,릴스,어스데이 비건 인증 라인업,어스데이,41124,4308,2266,804,1576
IG-0015,2026-04-21,릴스,씨닉 샴푸바 거품 슬로모션,일상_제품컷,30554,2183,896,318,420
IG-0016,2026-04-22,피드,코코로코 샤워오일 향 노트 가이드,일상_제품컷,19214,1181,1181,324,636
IG-0017,2026-04-23,릴스,기브셔틀 두물머리 현장 비하인드,기브셔틀_ESG,52032,4103,1057,517,473
IG-0018,2026-04-24,릴스,씨닉 샴푸바 거품 슬로모션,일상_제품컷,33573,3214,1192,581,773
IG-0019,2026-04-24,릴스,어스데이 비건 인증 라인업,어스데이,40782,2812,2127,748,1758
IG-0020,2026-04-25,피드,어스데이 자원 순환 인포그래픽,어스데이,26342,2413,1785,402,1601
IG-0021,2026-04-26,피드,섹스밤 단독컷 매크로 촬영,일상_제품컷,17516,1834,922,260,748
IG-0022,2026-04-27,릴스,마스크 오브 매그너민티 팩 시연,일상_제품컷,35408,3864,927,372,437
IG-0023,2026-04-27,피드,인터갈락틱 배쓰밤 우주 비주얼 컷,일상_제품컷,25443,1684,821,277,342
IG-0024,2026-04-28,피드,인터갈락틱 배쓰밤 우주 비주얼 컷,일상_제품컷,28878,2815,1151,329,1018
IG-0025,2026-04-29,릴스,성수 팝업씨어터 비마이커튼콜 회고 영상,성수_팝업씨어터,34766,3366,642,376,524
IG-0026,2026-04-29,피드,섹스밤 단독컷 매크로 촬영,일상_제품컷,19952,1348,794,219,320
IG-0027,2026-04-30,릴스,성수 팝업씨어터 비마이커튼콜 회고 영상,성수_팝업씨어터,38464,3624,923,331,370
IG-0028,2026-05-01,스토리,어버이날 자사앱 한정 키트,어버이날,20206,1582,1418,153,700
IG-0029,2026-05-01,릴스,기브셔틀 두물머리 현장 비하인드,기브셔틀_ESG,40597,4453,722,512,627
IG-0030,2026-05-02,스토리,어버이날 자사앱 한정 키트,어버이날,22795,2252,1449,285,971
IG-0031,2026-05-03,스토리,러쉬 어스 멤버십 혜택 카드,멤버십_프로모션,12030,872,311,54,259
IG-0032,2026-05-04,피드,코코로코 샤워오일 향 노트 가이드,일상_제품컷,27889,2418,1311,412,834
IG-0033,2026-05-05,스토리,어버이날 자사앱 한정 키트,어버이날,23437,2181,1970,374,1408
IG-0034,2026-05-05,피드,인터갈락틱 배쓰밤 우주 비주얼 컷,일상_제품컷,30378,2762,1558,405,1302
IG-0035,2026-05-06,릴스,씨닉 샴푸바 거품 슬로모션,일상_제품컷,29144,2903,1261,375,681
IG-0036,2026-05-06,피드,인터갈락틱 배쓰밤 우주 비주얼 컷,일상_제품컷,23336,1929,860,281,624
IG-0037,2026-05-07,피드,고디바 vs 씨닉 사용감 비교,고디바_론칭,39052,4263,2561,906,1781
IG-0038,2026-05-08,릴스,고디바 샴푸바 사용 ASMR,고디바_론칭,102250,9157,6009,1772,4231
IG-0039,2026-05-09,피드,인터갈락틱 배쓰밤 우주 비주얼 컷,일상_제품컷,30516,3286,1204,216,690
IG-0040,2026-05-10,릴스,라임바운티 보디버터 발리는 모습,일상_제품컷,33837,2839,1365,525,605
